censo,iso_3166-2_AR,provincia,sexo,rango_etario,nativo_extranjero,poblacion,
1914,AR,ARGENTINA,V,80-84,N,3847,
1914,AR,ARGENTINA,V,85+,N,3285,
1947,AR,ARGENTINA,M,10-14,N,745416,
1947,AR,ARGENTINA,M,05-09,N,776390,
1947,AR,ARGENTINA,M,00-04,N,879709,
1947,AR,ARGENTINA,M,15-19,N,762394,
1947,AR,ARGENTINA,M,20-24,N,699217,
1947,AR,ARGENTINA,M,25-29,N,598825,
1947,AR,ARGENTINA,M,30-34,N,557989,
1947,AR,ARGENTINA,M,35-39,N,466891,
1947,AR,ARGENTINA,M,40-44,N,346218,
1947,AR,ARGENTINA,M,45-49,N,278816,
1947,AR,ARGENTINA,M,50-54,N,202239,
1947,AR,ARGENTINA,M,55-59,N,156601,
1947,AR,ARGENTINA,M,60-64,N,100086,
1947,AR,ARGENTINA,M,65-69,N,68301,
1947,AR,ARGENTINA,M,70-74,N,40773,
1947,AR,ARGENTINA,M,75-79,N,24454,
1947,AR,ARGENTINA,M,80-84,N,12183,
1947,AR,ARGENTINA,M,85+,N,10659,
1947,AR,ARGENTINA,V,10-14,N,763266,
1947,AR,ARGENTINA,V,05-09,N,794076,
1947,AR,ARGENTINA,V,00-04,N,900196,
1947,AR,ARGENTINA,V,15-19,N,767703,
1947,AR,ARGENTINA,V,20-24,N,699704,
1947,AR,ARGENTINA,V,25-29,N,589136,
1947,AR,ARGENTINA,V,30-34,N,557496,
1947,AR,ARGENTINA,V,35-39,N,467741,
1947,AR,ARGENTINA,V,40-44,N,353261,
1947,AR,ARGENTINA,V,45-49,N,275178,
1947,AR,ARGENTINA,V,50-54,N,206891,
1947,AR,ARGENTINA,V,55-59,N,152015,
1947,AR,ARGENTINA,V,60-64,N,89961,
1947,AR,ARGENTINA,V,65-69,N,54204,
1947,AR,ARGENTINA,V,70-74,N,32589,
1947,AR,ARGENTINA,V,75-79,N,15962,
1947,AR,ARGENTINA,V,80-84,N,7076,
1947,AR,ARGENTINA,V,85+,N,4273,
1960,AR,ARGENTINA,M,05-09,N,1012520,
1960,AR,ARGENTINA,M,10-14,N,920603,
1960,AR,ARGENTINA,M,00-04,N,1046129,
1960,AR,ARGENTINA,M,15-19,N,810484,
1960,AR,ARGENTINA,M,20-24,N,727842,
1960,AR,ARGENTINA,M,25-29,N,716570,
1960,AR,ARGENTINA,M,30-34,N,709978,
1960,AR,ARGENTINA,M,35-39,N,626868,
1960,AR,ARGENTINA,M,40-44,N,539297,
1960,AR,ARGENTINA,M,45-49,N,501510,
1960,AR,ARGENTINA,M,50-54,N,379372,
1960,AR,ARGENTINA,M,55-59,N,282969,
1960,AR,ARGENTINA,M,60-64,N,212902,
1960,AR,ARGENTINA,M,65-69,N,145993,
1960,AR,ARGENTINA,M,70-74,N,95289,
1960,AR,ARGENTINA,M,75-79,N,49733,
1960,AR,ARGENTINA,M,80-84,N,25072,
1960,AR,ARGENTINA,M,85+,N,16986,
1960,AR,ARGENTINA,V,05-09,N,1034987,
1960,AR,ARGENTINA,V,10-14,N,931550,
1960,AR,ARGENTINA,V,00-04,N,1072307,
1960,AR,ARGENTINA,V,15-19,N,790110,
1960,AR,ARGENTINA,V,20-24,N,697625,
1960,AR,ARGENTINA,V,25-29,N,695862,
1960,AR,ARGENTINA,V,30-34,N,686013,
1960,AR,ARGENTINA,V,35-39,N,609844,
1960,AR,ARGENTINA,V,40-44,N,525375,
1960,AR,ARGENTINA,V,45-49,N,488667,
1960,AR,ARGENTINA,V,50-54,N,366150,
1960,AR,ARGENTINA,V,55-59,N,263068,
